,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
77,,6.0,9.0,2021-10-05,24900000,57,866,0,1,0,0,0,0
78,29.0,3.0,2.0,2021-10-05,3690000,84,1025,0,0,1,1,0,0
79,,3.0,2.0,2021-10-05,3690000,71,1136,1,1,0,1,0,0
80,50.0,3.0,2.0,2021-10-05,3900000,66,960,1,0,0,1,1,0
81,52.0,5.0,5.0,2021-10-05,13900000,48,526,0,0,0,0,0,0
82,,4.0,3.0,2021-10-04,4290000,65,1221,1,0,0,1,0,0
83,,2.0,2.0,2021-10-04,1690000,54,1199,1,1,0,0,0,0
84,,3.0,2.0,2021-10-01,1790000,145,1438,1,1,1,0,0,1
85,140.0,4.0,6.0,2021-10-02,14500000,151,1839,1,1,1,1,0,0
86,,3.0,2.0,2021-10-01,5500000,85,1054,0,0,1,1,0,0
87,56.0,3.0,2.0,2021-09-30,3500000,54,959,0,0,1,1,0,0
88,43.0,3.0,2.0,2021-09-30,3950000,79,1297,0,0,0,1,0,0
89,,3.0,2.0,2021-10-01,3490000,72,1437,0,1,0,1,0,0
90,93.0,3.0,3.0,2021-09-30,17000000,76,1459,0,0,0,1,0,0
91,106.0,4.0,4.0,2021-10-12,27000000,47,335,0,0,0,0,0,0
92,103.0,4.0,4.0,2021-09-29,11899999,59,506,0,0,0,0,0,0
93,56.0,4.0,3.0,2021-09-30,6700000,77,1174,0,0,0,1,0,0
94,58.0,3.0,2.0,2021-09-28,2450000,142,1772,0,0,0,1,0,0
95,37.0,3.0,2.0,2021-09-29,3490000,141,1177,1,0,0,1,0,0
96,96.0,2.0,3.0,2021-09-28,3190000,97,1132,0,0,0,0,0,1
97,53.0,3.0,2.0,2021-09-27,3300000,54,1896,1,1,0,1,0,0
98,,3.0,3.0,2021-09-30,8500000,45,1929,0,1,1,1,0,0
99,336.0,10.0,11.0,2021-09-29,95000000,46,933,1,0,0,0,0,0
100,60.0,3.0,3.0,2021-09-28,13500000,42,664,0,0,0,0,0,0
101,40.0,3.0,2.0,2021-09-27,3390000,106,1616,0,0,0,1,0,0
102,48.0,3.0,2.0,2021-09-29,1990000,75,1009,0,0,0,0,0,1
103,,3.0,1.0,2021-09-30,3250000,46,718,0,0,0,1,0,0
104,,3.0,2.0,2021-10-02,3990000,79,2805,0,1,1,1,0,0
105,55.0,3.0,2.0,2021-09-29,3200000,71,1209,0,0,1,0,0,0
106,80.0,3.0,3.0,2021-09-29,8790000,67,1766,0,0,0,1,0,0
107,,4.0,2.0,2021-09-29,3890000,47,1597,0,0,0,1,0,0
108,68.0,2.0,2.0,2021-10-01,2160000,56,1422,0,0,0,1,0,0
109,,3.0,2.0,2021-09-29,4200000,65,1116,0,0,1,1,0,0
