,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
343,,3.0,2.0,2021-07-15,5390000,67,1608,0,1,0,1,0,0
344,62.0,3.0,3.0,2021-08-22,5100000,85,669,0,0,0,1,0,0
345,121.0,5.0,2.0,2021-07-15,7500000,64,1270,0,0,1,0,0,0
346,,3.0,3.0,2021-07-08,6900000,48,1205,1,0,1,1,0,0
347,70.0,3.0,2.0,2021-07-08,3430000,45,1311,1,0,0,1,0,0
348,44.0,3.0,2.0,2021-07-14,3100000,52,1721,0,0,0,1,0,0
349,,3.0,4.0,2021-07-13,11200000,68,976,0,0,0,0,0,1
350,125.0,3.0,4.0,2021-07-13,18500000,56,1762,0,0,0,0,0,1
351,,3.0,4.0,2021-07-13,10250000,60,623,0,0,0,0,0,0
352,,,,2021-08-20,1549000,49,1257,0,0,0,1,0,0
353,63.0,3.0,2.0,2021-07-15,2650000,77,1043,0,1,0,0,0,1
354,,3.0,3.0,2021-07-12,11050000,74,1572,0,0,0,0,0,0
355,93.0,4.0,5.0,2021-07-11,10900000,44,1667,1,0,0,1,0,0
356,35.0,3.0,2.0,2021-07-11,2300000,67,1663,0,0,0,1,0,0
357,200.0,4.0,5.0,2021-07-12,25000000,64,503,0,1,0,0,0,0
358,100.0,3.0,4.0,2021-07-12,15700000,91,292,0,0,0,0,0,0
359,159.0,4.0,5.0,2021-07-01,8999999,54,289,0,0,0,0,0,0
360,,3.0,2.0,2021-07-10,3500000,77,744,0,0,0,0,0,1
361,,5.0,4.0,2021-09-09,3800000,55,1048,0,0,1,1,0,0
362,40.0,5.0,4.0,2021-08-16,4350000,67,1347,1,0,1,0,0,0
363,67.0,3.0,3.0,2021-07-13,6800000,116,1442,1,0,0,1,0,0
364,73.0,4.0,3.0,2021-07-13,12490000,104,1650,0,1,1,1,0,0
365,131.0,5.0,4.0,2021-07-13,17900000,92,1053,1,0,1,1,0,0
366,64.0,4.0,3.0,2021-07-13,8490000,56,1811,0,0,0,1,0,0
367,68.0,3.0,3.0,2021-07-05,4700000,96,2214,1,0,1,1,0,0
368,,3.0,3.0,2021-06-29,5500000,64,878,0,0,0,1,0,0
369,66.0,3.0,3.0,2021-07-09,3750000,74,1765,0,0,0,1,0,0
370,,4.0,6.0,2021-09-01,53000000,25,77,0,0,0,0,0,0
371,61.0,4.0,4.0,2021-07-12,13900000,95,593,0,0,0,0,0,0
372,54.0,4.0,3.0,2021-07-08,3290000,110,1146,1,0,0,0,0,1
373,30.0,3.0,2.0,2021-07-07,4990000,112,1133,0,0,1,0,0,0
374,,4.0,3.0,2021-07-01,8900000,40,1392,1,0,1,1,0,0
375,,3.0,2.0,2021-06-29,3890000,101,1605,1,0,0,1,0,0
376,87.0,3.0,3.0,2021-07-05,8950000,102,1595,1,0,0,0,0,0
377,,3.0,3.0,2021-10-08,4200000,49,1539,0,0,1,1,0,0
378,50.0,3.0,2.0,2021-10-01,2750000,42,558,0,0,0,0,0,0
379,,4.0,3.0,2021-07-02,5800000,80,1192,0,0,0,0,0,0
380,,2.0,3.0,2021-06-24,4990000,55,1221,0,0,1,0,0,0
381,59.0,2.0,1.0,2021-10-07,2700000,62,1300,0,0,1,0,0,0
382,,,,2021-07-04,4500000,77,1627,0,0,0,1,0,0
383,148.0,3.0,4.0,2021-07-02,9380000,64,1534,0,0,0,0,0,0
384,,,,2021-06-30,3400000,56,1079,0,0,0,1,0,0
385,43.0,3.0,3.0,2021-06-30,3890000,204,1529,1,1,0,1,0,1
386,150.0,6.0,6.0,2021-07-22,16800000,73,1821,0,0,0,1,0,0
387,80.0,1.0,1.0,2021-07-02,13900000,96,1334,0,0,0,1,0,0
388,,,,2021-06-28,2790000,67,983,0,0,0,1,0,0
389,92.0,3.0,3.0,2021-06-14,10000000,120,1651,0,1,1,1,0,0
390,,3.0,2.0,2021-10-07,2850000,238,1618,1,1,0,1,0,0
391,100.0,4.0,3.0,2021-07-04,17500000,59,943,1,0,0,1,0,0
392,22.0,1.0,1.0,2021-10-15,125000,11,4,0,0,0,0,0,1
393,,4.0,4.0,2021-09-01,3250000,76,679,0,0,1,1,0,0
394,,4.0,3.0,2021-06-25,3570000,126,1006,0,0,1,0,0,1
395,,,,2021-06-21,2300000,61,931,0,0,0,1,0,0
396,73.0,4.0,2.0,2021-06-14,5690000,53,1068,0,0,0,1,0,0
397,36.0,4.0,3.0,2021-06-11,4290000,87,1135,0,0,0,1,1,0
398,,,,2021-06-21,4650000,52,1298,0,0,0,0,0,0
399,112.0,4.0,3.0,2021-06-13,12500000,112,2129,1,0,0,1,1,0
400,51.0,3.0,2.0,2021-06-28,2500000,67,1607,0,0,0,1,0,0
401,,,,2021-06-28,2190000,55,1237,0,0,0,1,0,0
402,47.0,3.0,2.0,2021-06-22,5800000,200,1022,0,1,1,0,0,0
403,,,,2021-06-20,2850000,51,1489,0,0,1,1,0,0
404,118.0,3.0,3.0,2021-06-25,13900000,94,949,0,1,0,0,1,0
405,,3.0,2.0,2021-06-25,3850000,57,1838,1,1,0,1,0,0
406,,3.0,2.0,2021-06-20,3300000,59,1799,1,0,1,1,0,0
407,48.0,2.0,2.0,2021-06-19,2200000,63,988,1,1,0,1,0,0
408,188.0,4.0,3.0,2021-06-17,8900000,48,1157,0,0,0,0,1,0
409,199.0,1.0,5.0,2021-06-13,24000000,36,1610,1,0,0,1,0,0
410,60.0,3.0,3.0,2021-06-17,4790000,65,1313,1,0,0,1,0,0
411,54.0,3.0,2.0,2021-06-14,4500000,46,617,0,0,0,0,1,0
412,95.0,5.0,3.0,2021-10-11,10900000,186,2306,1,0,0,0,0,0
413,,4.0,3.0,2021-06-09,9800000,57,2438,1,0,0,1,0,0
414,120.0,3.0,3.0,2021-07-01,15800000,73,1438,0,0,1,0,0,0
415,97.0,4.0,3.0,2021-06-13,4850000,71,1733,0,0,1,1,0,0
416,,3.0,2.0,2021-08-23,6990000,168,1165,1,1,0,1,0,0
417,58.0,5.0,2.0,2021-06-16,6100000,123,1411,0,0,1,1,0,0
418,,3.0,2.0,2021-06-11,3200000,73,1758,0,0,1,1,0,0
419,,4.0,3.0,2021-06-09,4900000,55,1611,0,0,1,1,0,0
420,51.0,2.0,2.0,2021-06-06,2750000,74,1486,0,0,0,1,0,0
421,,3.0,3.0,2021-05-29,4390000,75,1545,0,0,0,1,0,0
422,,3.0,3.0,2021-06-11,3190000,73,1007,0,0,0,1,0,0
423,79.0,3.0,2.0,2021-06-14,7700000,48,527,0,0,0,0,0,0
424,,4.0,4.0,2021-10-05,46000000,70,1270,0,0,0,1,1,0
425,,3.0,3.0,2021-06-17,5300000,58,1684,0,0,0,1,0,0
426,54.0,4.0,2.0,2021-06-17,6700000,41,565,0,0,0,0,0,0
427,58.0,3.0,3.0,2021-06-09,3290000,76,1507,0,0,0,1,0,0
428,36.0,3.0,2.0,2021-06-07,2880000,73,1796,0,0,0,1,0,0
429,51.0,3.0,3.0,2021-05-31,7500000,26,1256,0,1,0,1,0,0
430,50.0,4.0,2.0,2021-05-30,4000000,22,1111,0,0,0,1,0,0
431,40.0,3.0,3.0,2021-05-31,2980000,58,1689,0,0,0,1,0,0
432,,3.0,2.0,2021-05-29,2990000,13,1575,0,0,0,0,0,0
433,141.0,4.0,4.0,2021-05-25,45000000,77,2481,1,0,0,1,0,0
434,,,,2021-07-01,3490000,66,1469,0,0,0,1,0,0
435,,,,2021-08-28,1370000,61,1302,0,0,0,1,0,0
436,,3.0,2.0,2021-06-18,3200000,45,485,0,0,0,0,0,0
437,50.0,3.0,3.0,2021-05-28,2990000,43,879,0,0,0,1,0,0
438,61.0,3.0,2.0,2021-05-29,5800000,76,1513,0,0,0,1,0,0
439,,3.0,2.0,2021-05-25,2880000,53,688,1,0,0,0,0,0
440,280.0,6.0,6.0,2021-05-24,21000000,47,1714,1,1,0,1,0,0
441,100.0,5.0,6.0,2021-05-29,10120000,127,1702,1,0,0,1,0,1
442,,3.0,2.0,2021-06-03,5990000,32,1304,0,1,0,1,0,0
443,,4.0,4.0,2021-05-21,7300000,87,1956,0,0,1,0,0,0
444,50.0,3.0,3.0,2021-09-04,6900000,75,1131,0,0,0,0,0,0
445,55.0,2.0,2.0,2021-07-26,2450000,60,1605,0,0,0,1,0,0
446,102.0,4.0,4.0,2021-05-25,14500000,109,1883,0,0,1,1,0,0
447,,4.0,4.0,2021-05-20,4650000,45,634,0,0,1,0,0,0
448,,4.0,3.0,2021-05-29,8990000,59,1496,0,0,1,0,0,0
449,,3.0,3.0,2021-05-20,5985000,76,1353,0,0,1,1,0,0
450,103.0,2.0,2.0,2021-05-14,3950000,68,1328,0,0,1,1,0,0
451,,2.0,2.0,2021-05-24,1490000,61,1285,0,0,0,1,0,0
452,59.0,3.0,3.0,2021-05-20,4200000,43,624,0,0,0,0,0,0
453,108.0,3.0,2.0,2021-05-20,6600000,30,507,0,0,0,0,0,0
454,59.0,3.0,2.0,2021-05-20,2899999,53,494,0,0,0,0,0,0
455,,3.0,4.0,2021-05-15,9980000,55,1229,0,0,0,1,0,0
456,49.0,3.0,2.0,2021-05-15,4200000,55,1256,0,0,1,1,0,0
457,52.0,3.0,3.0,2021-05-13,4190000,67,1336,1,0,0,0,0,0
458,57.0,4.0,3.0,2021-10-15,8300000,101,771,0,0,0,0,0,0
459,58.0,2.0,2.0,2021-05-19,2460000,58,1353,0,0,0,1,0,0
460,57.0,3.0,2.0,2021-05-21,4200000,67,1363,0,0,0,1,0,0
461,,2.0,1.0,2021-05-18,1790000,45,1602,1,0,0,1,0,0
462,,3.0,2.0,2021-10-10,3490000,48,648,0,0,0,0,0,0
463,,3.0,3.0,2021-06-04,7490000,47,1303,0,1,0,1,0,0
464,,4.0,3.0,2021-05-11,1990000,129,2333,0,0,0,1,1,1
465,102.0,8.0,7.0,2021-05-10,13900000,125,1665,0,0,0,0,0,0
466,63.0,3.0,3.0,2021-09-30,5290000,173,1968,0,0,0,1,0,0
467,53.0,4.0,2.0,2021-05-17,4280000,95,952,0,0,0,1,0,0
468,37.0,4.0,3.0,2021-09-16,6590000,138,1506,0,0,0,1,0,0
469,84.0,3.0,3.0,2021-09-29,3400000,102,1092,0,0,1,0,0,0
470,81.0,5.0,4.0,2021-06-17,7490000,86,531,0,0,0,0,0,0
471,,,,2021-05-03,3800000,59,1426,0,0,0,1,0,0
472,50.0,3.0,2.0,2021-05-17,6700000,67,1500,0,0,0,1,0,0
473,78.0,4.0,3.0,2021-05-02,7390000,74,1921,0,0,0,1,0,0
474,52.0,5.0,2.0,2021-05-22,5900000,77,252,0,0,0,0,0,0
475,,3.0,2.0,2021-04-25,3990000,55,1887,0,0,1,1,0,0
476,,,,2021-04-22,7290000,66,2232,1,0,0,1,0,0
477,,3.0,2.0,2021-04-20,4700000,49,1692,0,1,0,1,0,0
478,100.0,3.0,2.0,2021-04-09,6500000,66,1209,0,0,0,1,0,0
479,79.0,3.0,3.0,2021-04-22,4990000,45,593,0,0,0,1,0,0
480,,,,2021-04-29,3850000,66,1314,0,0,0,1,0,0
481,,3.0,3.0,2021-04-20,4380000,90,765,0,0,0,0,0,0
482,,3.0,3.0,2021-04-09,4070000,67,1632,0,0,1,1,0,0
483,50.0,3.0,3.0,2021-09-19,6180000,147,2125,1,0,0,1,1,0
484,101.0,4.0,4.0,2021-10-12,7900000,87,124,0,0,0,0,0,0
485,,,,2021-04-08,3350000,67,1955,1,0,0,1,0,0
486,,,,2021-04-07,8400000,69,1698,0,0,1,1,0,0
487,,3.0,3.0,2021-04-02,10500000,70,1583,1,0,0,0,0,0
488,78.0,5.0,4.0,2021-03-24,8390000,138,1771,1,1,1,1,0,0
489,27.0,2.0,2.0,2021-03-29,4390000,109,1386,1,0,0,0,0,0
490,,3.0,3.0,2021-03-26,4900000,40,937,0,0,0,0,0,0
491,79.0,3.0,3.0,2021-04-05,6550000,66,1784,0,0,0,0,1,0
492,119.0,3.0,3.0,2021-03-22,7500000,85,1187,0,0,1,1,0,0
493,100.0,5.0,5.0,2021-03-16,14900000,99,1434,1,0,0,1,0,0
494,,5.0,6.0,2021-03-16,30000000,90,1463,1,1,0,1,1,0
495,,3.0,3.0,2021-03-16,4000000,77,1847,0,0,0,1,0,0
496,53.0,2.0,1.0,2021-03-13,1700000,66,520,1,0,0,1,0,0
497,38.0,3.0,2.0,2021-09-28,2850000,23,1468,1,0,0,0,0,0
498,,6.0,6.0,2021-09-12,27900000,49,1237,0,0,1,1,0,0
499,,,,2021-09-07,34245,8,8,0,0,0,0,0,1
500,118.0,4.0,4.0,2021-06-04,15000000,61,1236,0,1,0,1,0,0
501,,4.0,3.0,2021-03-06,5900000,61,1410,0,1,0,1,0,0
502,,3.0,2.0,2021-02-27,4300000,123,1373,1,1,0,1,0,0
503,62.0,4.0,2.0,2021-05-12,5990000,105,2327,1,0,1,1,0,0
504,62.0,3.0,3.0,2021-02-23,5700000,76,1013,0,1,1,0,0,0
505,50.0,5.0,4.0,2021-03-08,4280000,99,839,1,0,0,0,0,0
506,,3.0,7.0,2021-02-25,50000000,99,1488,1,0,0,0,0,0
507,110.0,3.0,4.0,2021-09-18,23000000,59,683,1,0,0,0,0,0
508,50.0,3.0,3.0,2021-03-04,3380000,106,666,0,0,0,1,0,0
509,86.0,4.0,4.0,2021-10-05,7900000,113,988,0,0,1,1,0,1
510,,3.0,3.0,2021-02-25,6450000,62,1851,1,0,1,1,0,0
511,,5.0,4.0,2021-02-18,12500000,54,1076,1,0,0,1,0,0
512,35.0,3.0,3.0,2021-05-19,5850000,66,1666,0,0,0,1,0,0
513,63.0,4.0,3.0,2021-02-05,8890000,114,2236,0,0,1,1,0,0
514,67.0,3.0,2.0,2021-09-23,1850000,216,1890,1,1,1,0,0,1
515,,,,2021-03-01,18000000,86,1372,0,0,0,0,0,0
516,74.0,5.0,3.0,2021-01-29,49000000,170,2393,1,0,0,1,0,0
517,156.0,5.0,5.0,2021-04-30,7500000,72,271,0,0,0,0,0,0
518,,4.0,3.0,2021-02-10,5390000,54,1660,0,0,0,1,0,0
519,78.0,3.0,3.0,2021-02-05,3634000,40,471,0,0,0,1,0,0
520,,4.0,3.0,2021-01-15,13500000,88,1544,0,0,0,1,1,0
521,64.0,3.0,3.0,2021-01-17,3500000,82,1072,1,1,1,1,0,0
522,,4.0,2.0,2021-01-16,3500000,113,1633,0,0,1,0,0,0
523,55.0,3.0,2.0,2021-08-22,4690000,13,2228,1,0,1,1,0,0
524,40.0,4.0,3.0,2021-01-23,2990000,42,581,0,0,1,0,0,0
525,120.0,2.0,2.0,2021-04-07,3600,15,15,0,0,0,0,0,1
526,53.0,6.0,6.0,2021-01-25,5900000,100,1153,1,1,1,1,0,0
527,101.0,3.0,2.0,2021-01-16,4300000,40,517,0,0,0,0,0,1
528,52.0,3.0,2.0,2021-01-07,2990000,55,757,1,0,0,1,0,0
529,,3.0,2.0,2021-01-06,2950000,180,1283,0,0,0,1,0,0
530,101.0,4.0,5.0,2021-04-17,49900000,35,1279,0,0,0,0,0,0
531,100.0,4.0,3.0,2021-01-15,8290000,37,1156,1,0,0,1,0,0
532,,3.0,4.0,2020-12-22,6900000,134,2215,0,0,0,1,0,0
533,58.0,3.0,3.0,2020-12-22,8900000,49,850,1,0,0,0,0,0
534,,4.0,3.0,2021-09-08,3800000,59,878,1,0,0,1,0,0
535,212.0,5.0,6.0,2021-09-08,20800000,73,1133,1,1,1,0,0,0
536,,3.0,3.0,2021-03-28,3550000,34,583,0,0,0,0,0,0
537,60.0,3.0,2.0,2020-12-21,3880000,51,1474,0,0,1,0,0,0
538,98.0,4.0,3.0,2020-12-15,5500000,236,1455,1,0,0,0,0,0
539,37.0,4.0,3.0,2020-12-04,6590000,112,2142,0,0,1,0,0,0
540,69.0,3.0,3.0,2021-09-08,6900000,73,1103,1,0,0,0,0,0
541,83.0,3.0,5.0,2021-09-08,9500000,82,825,1,1,0,1,0,0
542,,3.0,4.0,2021-04-29,11900000,98,1024,1,0,0,1,0,0
543,74.0,4.0,3.0,2021-08-20,6490000,169,1862,0,0,1,1,0,0
544,,3.0,2.0,2021-07-10,2090000,103,1061,0,0,0,0,0,1
545,,3.0,3.0,2020-11-13,8000000,115,2009,0,1,0,0,0,0
546,,,,2021-03-26,1300000,37,228,0,0,0,0,0,1
547,,3.0,3.0,2020-11-16,6900000,97,605,0,0,0,0,0,0
548,43.0,3.0,2.0,2020-11-04,3490000,85,1684,1,1,1,1,0,0
549,56.0,3.0,3.0,2020-10-09,4500000,71,1473,1,0,0,1,0,0
550,,5.0,6.0,2020-10-19,75000000,57,2518,0,0,1,1,0,0
551,,2.0,2.0,2020-10-29,1500000,104,1974,1,0,1,0,0,1
552,,3.0,4.0,2020-10-07,27500000,101,2219,0,0,1,1,0,0
553,,3.0,3.0,2020-10-09,35000000,131,1803,1,0,0,1,0,0
554,123.0,4.0,4.0,2021-09-08,10000000,71,752,1,0,0,1,0,0
555,200.0,9.0,10.0,2020-12-24,27000000,82,1103,1,0,1,0,0,0
556,50.0,1.0,1.0,2020-11-17,4000000,67,850,1,0,0,0,1,0
557,50.0,3.0,2.0,2020-09-06,4900000,112,940,1,0,0,0,0,0
558,50.0,1.0,2.0,2021-09-08,4500000,73,627,1,1,0,0,0,0
559,95.0,2.0,2.0,2020-08-24,1500000,75,396,0,0,0,1,0,0
560,54.0,3.0,2.0,2021-06-04,5590000,49,1419,1,0,0,1,0,0
561,235.0,3.0,4.0,2021-06-04,13900000,71,1568,1,1,0,1,0,0
562,64.0,3.0,4.0,2021-02-07,9000000,54,1403,1,1,0,0,0,0
563,75.0,8.0,3.0,2021-01-08,9900000,24,666,0,0,0,0,0,0
564,,3.0,3.0,2020-06-29,7000000,61,544,0,0,0,1,0,0
565,65.0,3.0,3.0,2021-06-25,4550001,13,1275,0,0,0,0,1,0
566,43.0,4.0,2.0,2021-06-23,2200000,182,1305,0,1,0,1,1,0
567,50.0,3.0,3.0,2021-03-09,4500000,13,1724,1,0,1,1,0,0
568,44.0,3.0,4.0,2021-01-31,4900000,24,288,0,0,0,1,0,0
569,,4.0,4.0,2021-01-30,10500000,63,1242,1,0,1,1,0,0
570,37.0,6.0,6.0,2020-05-27,13500000,100,1431,1,0,0,1,0,0
571,,4.0,3.0,2020-08-26,5800000,73,806,1,0,0,1,1,0
572,,3.0,2.0,2021-06-04,3400000,50,1345,0,0,1,1,0,0
573,64.0,4.0,3.0,2020-06-27,4900000,63,872,1,0,0,1,0,0
574,64.0,4.0,4.0,2020-05-30,4800000,84,796,1,1,1,0,0,0
575,96.0,3.0,2.0,2020-04-14,3900000,91,1407,1,0,1,0,0,0
576,56.0,3.0,4.0,2021-06-05,5100000,46,1383,1,0,1,1,0,0
577,37.0,3.0,2.0,2021-06-04,4200000,53,1200,0,1,0,1,0,0
578,80.0,4.0,5.0,2021-06-04,27900000,96,1184,0,1,0,1,0,0
579,93.0,4.0,4.0,2021-06-04,18500000,60,1200,0,0,0,1,0,0
580,58.0,3.0,3.0,2021-06-04,8790000,30,1331,0,0,0,1,0,0
581,,3.0,2.0,2021-06-02,3490000,13,2424,1,0,1,1,0,0
582,,6.0,4.0,2020-06-13,12000000,74,1491,1,0,0,0,0,0
583,,4.0,5.0,2020-04-11,10900000,121,1769,1,0,0,1,1,0
584,23.0,4.0,4.0,2020-04-14,16990000,130,1714,0,0,0,1,0,0
585,53.0,13.0,13.0,2021-06-27,2950000,114,2779,1,0,1,0,0,0
586,52.0,3.0,3.0,2021-06-14,4500000,168,1846,1,0,1,1,0,0
587,65.0,3.0,3.0,2021-01-28,4550000,13,1708,1,0,0,1,0,0
588,,2.0,2.0,2021-01-11,1500000,27,906,1,0,0,0,0,1
589,61.0,3.0,3.0,2020-03-21,3630000,50,1492,1,0,0,1,0,0
590,51.0,3.0,3.0,2021-07-03,4900000,13,1314,0,0,0,0,0,0
591,92.0,4.0,3.0,2021-06-04,13800000,29,1193,0,1,0,1,0,0
592,,3.0,1.0,2021-06-04,45000000,39,1261,1,0,1,1,0,0
593,62.0,2.0,2.0,2021-02-01,3600000,65,356,0,0,0,0,0,0
594,51.0,3.0,2.0,2020-06-02,3300000,33,289,0,1,1,0,0,0
595,88.0,3.0,2.0,2020-09-03,3500000,50,274,0,0,0,0,0,1
596,62.0,4.0,3.0,2020-02-29,4300000,43,906,1,1,1,1,0,0
597,,3.0,3.0,2021-06-08,8500000,105,1591,1,1,0,1,0,0
598,16.0,2.0,2.0,2021-05-05,1590000,171,1390,0,0,0,0,0,0
599,102.0,8.0,7.0,2021-05-10,13900000,76,1654,0,0,0,0,0,0
600,29.0,4.0,4.0,2021-05-07,4480000,87,959,1,0,0,0,0,0
601,,4.0,2.0,2021-05-05,4490000,184,2031,0,1,0,0,0,0
602,50.0,4.0,2.0,2021-05-05,3490000,188,1001,1,0,0,1,0,0
603,,3.0,2.0,2021-05-05,3700000,135,1181,1,0,0,1,0,0
604,,4.0,2.0,2021-04-19,3500000,113,1633,0,0,1,0,0,0
605,88.0,4.0,3.0,2020-04-14,6900000,49,699,0,1,1,1,0,0
606,55.0,3.0,2.0,2021-02-11,2880000,206,1166,0,0,0,0,0,0
607,,4.0,3.0,2020-07-24,3900000,39,74,1,0,0,0,0,0
608,49.0,3.0,2.0,2021-05-05,4100000,153,2192,1,1,1,1,0,0
609,,2.0,2.0,2020-06-20,2600000,52,288,0,0,0,0,0,0
610,,3.0,3.0,2021-02-11,5500000,169,1694,1,1,1,0,0,0
611,,,,2020-09-16,26000000,82,347,0,0,0,1,0,0
612,143.0,5.0,4.0,2018-07-19,25000000,45,685,0,0,0,1,0,0
613,150.0,4.0,5.0,2018-10-30,38000000,94,2439,0,0,0,1,0,1
614,,3.0,2.0,2021-05-05,2500000,118,949,0,0,0,0,0,0
615,98.0,4.0,3.0,2021-02-08,5500000,234,1577,1,0,0,0,0,0
616,,8.0,8.0,2021-10-10,16500000,98,715,0,0,1,0,0,0
617,33.0,3.0,2.0,2021-02-11,2900000,245,2111,1,0,1,1,1,0
618,239.0,6.0,4.0,2020-12-15,12900000,193,1917,0,1,0,0,1,0
619,,3.0,2.0,2021-10-11,4500000,76,218,0,0,0,0,0,0
620,78.0,3.0,2.0,2021-01-22,1999999,60,622,0,0,0,1,0,0
621,24.0,1.0,1.0,2021-10-19,5000,4,16,0,0,0,0,0,1
622,24.0,1.0,1.0,2021-10-19,5000,4,16,0,0,0,0,0,1
623,24.0,1.0,1.0,2021-10-18,5000,4,16,0,0,0,0,0,1
624,24.0,1.0,1.0,2021-10-18,5000,4,16,0,0,0,0,0,1
625,24.0,1.0,1.0,2021-10-18,5000,4,16,0,0,0,0,0,1
626,24.0,1.0,1.0,2021-10-18,5000,4,16,0,0,0,0,0,1
627,24.0,1.0,1.0,2021-10-17,5000,4,16,0,0,0,0,0,1
628,24.0,1.0,1.0,2021-10-17,5000,4,16,0,0,0,0,0,1
629,24.0,1.0,1.0,2021-10-17,5000,4,16,0,0,0,0,0,1
630,24.0,1.0,1.0,2021-10-17,5000,4,16,0,0,0,0,0,1
631,24.0,1.0,1.0,2021-10-17,5000,4,16,0,0,0,0,0,1
632,24.0,1.0,1.0,2021-10-16,5000,4,16,0,0,0,0,0,1
633,24.0,1.0,1.0,2021-10-16,5000,4,16,0,0,0,0,0,1
634,24.0,1.0,1.0,2021-10-16,5000,4,16,0,0,0,0,0,1
635,24.0,1.0,1.0,2021-10-16,5000,4,16,0,0,0,0,0,1
636,24.0,1.0,1.0,2021-10-15,5000,4,16,0,0,0,0,0,1
637,24.0,1.0,1.0,2021-10-15,5000,4,16,0,0,0,0,0,1
638,24.0,1.0,1.0,2021-10-15,5000,4,16,0,0,0,0,0,1
639,24.0,1.0,1.0,2021-10-14,5000,4,16,0,0,0,0,0,1
640,24.0,1.0,1.0,2021-10-14,5000,4,16,0,0,0,0,0,1
641,24.0,1.0,1.0,2021-10-14,5000,4,16,0,0,0,0,0,1
642,24.0,1.0,1.0,2021-10-13,5000,4,16,0,0,0,0,0,1
643,24.0,1.0,1.0,2021-10-13,5000,4,16,0,0,0,0,0,1
644,24.0,1.0,1.0,2021-10-13,5000,4,16,0,0,0,0,0,1
645,24.0,1.0,1.0,2021-10-13,5000,4,16,0,0,0,0,0,1
646,24.0,1.0,1.0,2021-10-13,5000,4,16,0,0,0,0,0,1
647,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
648,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
649,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
650,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
651,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
652,24.0,1.0,1.0,2021-10-11,5000,4,16,0,0,0,0,0,1
653,24.0,1.0,1.0,2021-10-10,5000,4,16,0,0,0,0,0,1
654,24.0,1.0,1.0,2021-10-10,5000,4,16,0,0,0,0,0,1
655,24.0,1.0,1.0,2021-10-10,5000,4,16,0,0,0,0,0,1
656,24.0,1.0,1.0,2021-10-10,5000,4,16,0,0,0,0,0,1
657,24.0,1.0,1.0,2021-10-10,5000,4,16,0,0,0,0,0,1
658,,1.0,1.0,2021-09-23,5386,6,6,0,0,0,0,0,1
659,50.0,3.0,2.0,2020-10-27,1960000,38,553,0,0,0,0,0,0
660,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
661,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
662,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
663,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
664,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
665,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
666,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
667,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
668,24.0,1.0,1.0,2021-10-09,5000,4,16,0,0,0,0,0,1
669,24.0,1.0,1.0,2021-10-08,5000,4,16,0,0,0,0,0,1
670,24.0,1.0,1.0,2021-10-08,5000,4,16,0,0,0,0,0,1
671,24.0,1.0,1.0,2021-10-08,5000,4,16,0,0,0,0,0,1
672,24.0,1.0,1.0,2021-10-08,5000,4,16,0,0,0,0,0,1
673,24.0,1.0,1.0,2021-10-08,5000,4,16,0,0,0,0,0,1
674,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
675,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
676,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
677,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
678,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
679,24.0,1.0,1.0,2021-10-07,5000,4,16,0,0,0,0,0,1
680,24.0,1.0,1.0,2021-10-06,5000,4,16,0,0,0,0,0,1
681,24.0,1.0,1.0,2021-10-06,5000,4,16,0,0,0,0,0,1
682,24.0,1.0,1.0,2021-10-06,5000,4,16,0,0,0,0,0,1
683,24.0,1.0,1.0,2021-10-06,5000,4,16,0,0,0,0,0,1
684,24.0,1.0,1.0,2021-10-05,5000,4,16,0,0,0,0,0,1
685,24.0,1.0,1.0,2021-10-05,5000,4,16,0,0,0,0,0,1
686,24.0,1.0,1.0,2021-10-05,5000,4,16,0,0,0,0,0,1
687,24.0,1.0,1.0,2021-10-05,5000,4,16,0,0,0,0,0,1
688,24.0,1.0,1.0,2021-10-04,5000,4,16,0,0,0,0,0,1
689,24.0,1.0,1.0,2021-10-04,5000,4,16,0,0,0,0,0,1
690,24.0,1.0,1.0,2021-09-23,5000,4,16,0,0,0,0,0,1
